PALAVRA;SENTIMENTO
acidente vascular cerebral ; -0.909
acidentes acontecem ;0
acidez ; -0.799
acidificação ; -0.931
acidophilus flora ; -0.998
acima ; 0.852
acima da terra ;0
acima de perna ; 0.023
acionador de partida de fogo ;0
acionador de partida pergunta ; -0.059
acionista ; 0.254
acknowledgeable ; 0.935
acne medicação ; -0.905
acned ; -0.85
acomodar ; 0.731
acomodativa ;0
acompanhamento ; 0.055
acompanhar o evento atual ; 0.943
aconchegar-se ; 0.808
aconselhamento ; 0.724
acontecer ;0
acontecer a qualquer um ; -0.878
acontecer agora ; -0.72
acontecer rapidamente ; -0.792
acorda chamada ; -0.134
acordadas ; 0.858
acordando ; -0.565
acordar ; -0.565
acordar cedo ; -0.064
acordar de manhã ; 0.862
acorde ; 0.056
acordo comercial ; 0.876
acordo de governo ; 0.04
acordo de paz ; 0.068
acordo preliminar ; 0.026
acorn squash ; 0.046
acre ; -0.707
acreditar em deus ; -0.036
acredito em ; 0.105
acreção ; 0.942
acridity ; -0.687
acridness ; -0.687
acrobacia ;0
acrobacia acrobática ; -0.819
acromegálicos ; -0.737
acromático ; -0.7
actaea racemosa ; -0.524
activewear ; -0.684
actividade criminosa ; -0.167
actividade desportiva ; 0.21
actividade económica ;0
actualidade ; -0.059
acumular ; 0.572
acumular conhecimento ; 0.774
acumular stress ; -0.983
acusador ; -0.068
acusadora ; -0.74
acusando ; -0.953
acusar a pessoa ; -0.068
acusatório ; -0.953
acção de corpo ; -0.034
acção judicial ; 0.025
acólito ; 0.546
acúmulo de ; 0.942
adam e eden ;0
adamant ; -0.806
addlehead ; -0.997
adenoma ; -0.704
adenosina ;0
adenosis ; -0.533
adenozine ;0
adepto ;0
adequada ; 0.889
adequada para ; 0.889
aderir ; 0.105
aderência ;0
aderência do polegar ;0
adesivo ;0
adeus ; 0.037
adiabático ; -0.643
adiamento ; 0.976
adiar ;0
adiar o pagamento ; -0.05
adicionar dois números ;0
adicionar dois números juntos ; 0.979
adicionar número ;0
adicionar o conhecimento ; 0.757
adicionar o número da coluna ;0
adicionar o número de juntas ;0
adicionar o sabor ; 0.04
adicionar tempero ;0
adicione o açúcar ; 0.046
adience ; -0.637
adivinhação ; 0.958
adição ; -0.034
adjacentes ;0
administração ;0
administrável ; 0.5
admirado ; 0.59
admirar-se ; 0.934
admiração ;0
admitância ;0
admoestando ; -0.74
admonitory ;0
adoecem ; -0.815
adoentada ; -0.062
adoidado ;0
adolescência ;0
adorador ; 0.524
adorador de idol ; -0.888
adorai a deus ; 0.817
adoravelmente ; 0.494
adoração ; 0.732
adoração do herói ; 0.859
adornado ; 0.613
adorável ; 0.936
adotar ; 0.992
adoçantes ; 0.854
adoçar ; 0.9
adquirir bens ;0
adquirir conhecimentos ; 0.719
adquirir informações ; 0.383
adquirir riqueza ; 0.881
adrenérgicos ; 0.887
adroitness ; 0.966
adscititious ; -0.732
adular ; -0.106
adulterar ; -0.818
adulto de presente ; -0.061
adulto pequeno ;0
adultério ; -0.924
adventícios ; -0.732
adversative ; -0.668
adversidade ; -0.912
adversário ;0
advogado ; 0.901
advogado de aluguer ; -0.088
adão e eva ; 0.798
aegotheles traça ; -0.708
aeonian ; -0.954
aerogerador ; 0.996
aeroporto de segurança ; 0.069
aeródromo ;0
afagar ; 0.879
afasia ; -0.82
afasia acústica ; -0.82
afasia auditiva ; -0.82
afasia nominal ; -0.82
afastamento ; 0.72
afaste-se ;0
afectação ; -0.562
afeição ; 0.716
afetar ; 0.976
afetivas ; 0.37
afetuosa ; 0.73
affectedness ; -0.562
affirmativeness ; 0.604
afia lápis ; 0.846
afiadas unhas ; 0.04
afiado ;0
afiado dente ; -0.034
afiados ; 0.941
afiar faca ; -0.1
aficionado por ; 0.703
afiliado ; -0.754
afinador ; 0.036
afinar o instrumento ; -0.045
afinação ; 0.667
afirmacão ;0
afirmar ;0
afirmativa ; 0.585
afirmação ; 0.731
afirmou ; 0.501
aflitivamente ; -0.789
aflitivamente ruim ; -0.923
aflição ; -0.912
afogar ; -0.76
afortunado ; 0.857
afrodisíaco ; 0.87
afrouxamento ; -0.978
aftersensation ; -0.768
afundar ; -0.085
afundar o navio ; -0.068
agachamento ;0
agamic ; -0.686
agamogenetic ; -0.686
agamous ; -0.686
agarra a bola ; -0.041
agarram-se ; 0.51
agarrar ; 0.51
agenda ;0
agenda de salário ; 0.715
agente ; 0.962
agente funerário ; -0.911
agente infeccioso ; 0.962
agente inteligente ;0
agente limpo ;0
agente patogénico ; 0.962
agente provocador ;0
aggrieve ; -0.894
aggroup ; 0.867
agile ; 0.709
agilidade ; -0.046
agindo para fora ;0
agir ; 0.861
agir bobo ; 0.814
agir com sabedoria ; 0.506
agir inteligente ; 0.814
agir rapidamente ; -0.092
agitado ; -0.871
agitador ; -0.88
agitar ; -0.988
aglomerar ;0
agonia ;0
agonizante ; -0.964
agora ;0
agora caro ;0
agora é hora ;0
agourento ; -0.676
agradabilidade ;1
agradar olhos ; 0.133
agradeço ; 0.819
agradável ; 0.509
agrafia ; 0.89
agravantes ; 0.652
agredidas ; -0.753
agreeability ; 0.604
agress ; -0.754
agressividade ; -0.747
agressivo ;0
agressão ; -0.026
agressão física ; -0.917
agressão psicológica ; -0.917
agressão verbal ; -0.917
agricultura ;0
agrião amarelo ; 0.758
agrião comum ; 0.044
agrião de mesquita ; 0.758
agrião de montanha ; 0.758
agrião de rocha ; 0.598
agromania ; -0.898
agrícola ;0
aguado ;0
aguardai ; -0.711
aguardar ansiosamente ;0
aguda ;0
agudos ;0
aguenta-te ; 0.066
aguentar ; -0.054
aguilhão ;0
agulha ;0
agulha de coser ;0
agulha de pin ;0
agulha de rosca ; -0.026
agulha hipodérmica ;0
aguçar ; 0.846
agência ; 0.681
ahorseback ; 0.535
ai ; -0.165
ainda ;0
ainda bem que ;0
airairstrip ; -0.975
airmanship ; 0.607
ajoelhar-se ; -0.087
ajoelhe-se ; -0.116
ajuda a relaxar ; 0.068
ajuda a viajar ; 0.805
ajudar ; 0.854
ajudar a aprender ; 0.8
ajudar a encontrar ; 0.8
ajudar a entender ;0
ajudar a lembrar ; -0.059
ajudar a pessoa ; 0.829
ajudar a resolver o problema ; 0.702
ajudar alguém uma vida longa ; 0.995
ajudar aos outros ; 0.794
ajudar as pessoas ;0
ajudar o vizinho ;0
ajudar os menos afortunados ;0
ajudar os outros ; 0.741
ajudar outra pessoa ; 0.823
ajudar uns aos outros ; 0.741
ajustamento ; 0.735
ajustar ; -0.038
ajustar a temperatura da água ; -0.091
ajustar o banco ;0
ajustar volume ;0
ajuste de roupas ; -0.091
ajuste do relógio ; -0.081
ajuste o temporizador ; -0.134
ajustável ; 0.102
akodon ; -0.71
akrobata ; 0.754
ala de emergência ; -0.027
alarido ; -0.748
alarme de fumo ;0
alarme sonoro ; -0.09
alavanca de ; -0.993
alcalino ; 0.045
alcalóide envenenamento ; -0.72
alcance ; 0.828
alcançar ;0
alcançar a estrela ; 0.994
alcançar a prateleira alta ; -0.068
alcançar o alto lugar ; 0.066
alcançar o impasse ;0
alcançar o topo ; 0.506
alcançar vantagem ; -0.039
alcanço ;0
alcaparra ; -0.573
alcaparra comum ; 0.683
alcoolismo ; -0.799
alcorão ; -0.046
alcíone ;0
aldoses ; -0.528
alegação ; -0.962
alegoria ; 0.844
alegrar ; 0.628
alegrar-se ; 0.694
alegre ; 0.715
alegre vão círculo ; 0.813
alegremente ; 0.655
alegria ; 0.655
alegria da multidão ; 0.514
alegria de sentido ; 0.814
alegria extrema ; -0.704
alegrou ; 0.645
aleijado ;0
alergia ; -0.943
alertar ; -0.134
aleta ; -0.03
alfa ; 0.053
alfabetizados ;0
alfabetização ;0
alfabeto ;0
alfabeto letra ; 0.03
alfaiataria ; 0.847
alferes ;0
algaravia ; -0.826
algas ; -0.659
algas confervoid ; -0.659
algas douradas ; -0.659
algebraematics ;0
algema ; -0.136
algo a dizer ; 0.801
algo a ver ; 0.101
algo familiar ; 0.839
algo terrível ; -0.983
algodão ; -0.035
algodão-doce ; 0.149
algodão até ; 0.985
algodão branco ;0
algum lugar ; 0.215
alguma coisa ; 0.98
alguns ; -0.909
alguém causar constrangimento ; -0.917
alguém excitar sexualmente ; 0.703
alguém manter quente ; 0.923
alho ; 0.077
aliança ;0
alicates ; 0.053
alienar ; -0.038
alienação ; -0.859
alimentar-se ; 0.862
alimentar a criança ; 0.771
alimentar a pessoa ; 0.867
alimentar o bebê ;0
alimentação ; -0.802
alimentação animal ; 0.147
alimentação infantil ; -0.802
alimentação infantil de demanda ; -0.802
alimentação infantil de mama ; -0.802
alimentação infantil de programação ; -0.802
alimente-se corretamente ;0
alimento básico ; 0.088
alimento congelado ; 0.064
alimento crescido ;0
alimento de cão ; 0.076
alimento popular ; 0.053
alimentos bebidas ; 0.14
alimentos básicos ; 0.905
alimentos caros ; 0.061
alimentos de sabor ;0
alimentos de época ;0
alimentos doces ; 0.084
alimentos e bebidas ; 0.53
alimentos frescos ; 0.907
alimentos líquidos ; 0.079
alimentos mofados ; -0.089
alimentos pouco saudáveis ; -0.981
alimentos ricos em amido ; 0.026
alimentos tipo ; 0.071
alinhar ;0
alisar cabelo ;0
alistar-se ; -0.035
aliviadas ; -0.793
aliviar ; 0.969
aliviar a dor ; -0.801
aliviar a fome ; 0.81
aliviar a tensão ; 0.906
aliviar o stress ; 0.953
aliviar o tédio ; 0.738
allicrocodilian ; -0.853
alma criativa ; 0.056
almirante ; 0.688
almofada ; 0.153
almofada de carimbo ; 0.023
almofada de memorando ;0
almofada de ombro ; -0.99
almofada de orelha ; 0.986
almofada ergonómica ; 0.281
almoçar com o amigo ; 0.751
alojamento ;0
alojamento de governo ;0
alojamento grande ;0
alojamentos temporários ; -0.819
alongamento ;0
alpaca ; -0.535
alpes ;0
alpinista ; 0.518
alpinista de raiz ; 0.518
alqueire ; 0.739
alquimia ;0
alquimista ;0
alta ;0
alta classe ;0
alta estima ;0
alta frequência ;0
alta habilidade ; 0.887
alta montanha ;0
alta octanagem ; -0.035
alta proteína ; 0.05
alta qualidade ; 0.131
alta suave ;0
altamente qualificados ; 0.995
altar ; 0.027
alterable ; 0.623
alterar a aparência ;0
alterar a consciência do estado ;0
alterar cor ;0
alterar estilo ;0
alterar local ;0
alterar o aspecto ; 0.642
alterar o sabor ; 0.99
alterar plano ; -0.901
alteração ;0
alteração química ; 0.833
alternativa ; 0.02
altivo ;0
alto ; 0.062
alto-falante ; -0.046
alto-falantes ;0
alto campo buttercup ; -0.808
alto custo ;0
alto desempenho ; 0.044
alto escalão ; 0.023
alto nível ; 0.051
alto padrão ; 0.115
alto teor calórico ; 0.105
alto volume ; -0.95
altura ; 0.028
alucinar ; -0.734
alucinatória ; -0.677
alucinação ;0
aluga-se apartamento ; 0.046
aluga-se quarto ; 0.036
alugar casa ; 0.036
aluguel ;0
alumínio ; 0.057
aluno professor ; 0.061
alunos por instituição de ensino superior ; 0.97
alusão ; -0.629
alvo de dardos ;0
alvoroçado ;0
alvoroço ; -0.501
além da dúvida ; -0.718
alívio de suspiro de respiração ; 0.083
alívio do estresse ; 0.999
amaciamento ;0
amado ; -0.859
amadora ; -0.982
amaldiçoar ; -0.836
amalucado ;0
amamentação ; -0.802
amamo-nos ; 0.77
amante da arte ; 0.93
amante da música ; 0.806
amante de computador ; -0.969
amar ; 0.741
amar a mesmo ;0
amar os outros ; 0.117
amar outra pessoa ; 0.892
amar outro ; -0.027
amarelo ;0
amarelo acastanhado ; 0.046
amarelo alaranjado ;0
amarelo amarelo ; -0.514
amarelo animal ; -0.856
amarelo azul ; 0.044
amarelo brilhante ; 0.026
amarelo canário ; 0.065
amarelo chestnut oak ; 0.776
amarga ; -0.707
amarrado ;0
amarrar o cadarço ; -0.028
amarre juntos ; 0.066
amassar ;0
amateurishness ; 0.983
amative ; 0.531
amatory ; 0.531
amazônia ; -0.687
ambas as palavras ; 0.089
ambasjoyfulor ;0
ambicioso ;0
ambidestro ;0
ambientalista ; 0.214
ambiente agradável ; 0.561
ambiente ao vivo ; 0.107
ambiente de sentido ;0
ambiente incerto ;0
ambiente saudável ; 0.928
ambiente sonoro ; 0.136
ambiguidade ; -0.587
ambigüidade ;0
ambivalência ;0
ambiversion ; -0.648
ambição ; 0.053
ambos funcionais decorativos ;0
ambos os lados ;0
ambulant praga ; -0.861
ameadas ; 0.801
ameaça ; -0.806
ameaçador ; -0.524
ameaçar ; -0.931
ameba ;0
amei ; 0.59
ameixa seca ; 0.818
ameixoeira ;0
amelioratory ; 0.618
amendoim ; -0.943
amendrotado ;0
ameno ; 0.933
american express ; 0.867
ametista ; 0.037
amiable ; 0.206
amianto boll ; -0.035
amicability ; 0.608
amicableness ; 0.608
amigdalite de estreptococos ; -0.821
amigo ; 0.153
amigo de bate-papo ;0
amigo de coleta ; 0.681
amigo de confiança ; 0.796
amigo de conforto ; 0.786
amigo de onda ; 0.706
amigo de surpresa ; 0.959
amigo do casamento ; 0.027
amigo engraçado ; 0.056
amigo sobre ; 0.719
amigável ; 0.608
amiotrofia ; -0.869
amizade ; 0.58
amnésia ; -0.969
amok ; -0.072
amonificação ; 0.789
amor ; 0.798
amor animal ; -0.081
amor animal de estimação ; 0.867
amor arte ; 0.706
amor carinho ; 0.94
amor de outono ; 0.865
amor de símbolo ; 0.098
amor de volta ; 0.96
amor expresso ; 0.734
amor morte ; -0.591
amor obsessivo ; -0.752
amor verdadeiro ; 0.801
amora ;0
amora preta ; -0.922
amordaçar ;0
amoreira ; -0.922
amorosas ; 0.531
amorousness ; 0.531
amortecer ; -0.5
amorável ; 0.936
amotinadas ; -0.652
amphiapteral ; -0.659
amphiboly ; 0.633
amphiprostylar ; -0.659
amphistylar ; -0.659
ampliado ; -0.914
ampliar ; -0.023
ampliar-vidro ;0
ampliar o horizonte ; 0.97
ampliações ; 0.641
amplificador ; 0.056
amplo ;0
amplo com folhas centauro ; -0.902
ampola ; 0.619
ampère ;0
amyotrophia ; -0.869
anagnost ; 0.546
anagrama ; 0.035
analfabetismo ; -0.806
analgésico ;0
analisar ; -0.119
analisar o livro ;0
anamnese ; -0.041
ananás ;0
anarquia ; -0.868
anatomia ;0
ancinho ; -0.044
anda logo ; -0.081
anda por aí ; 0.047
andar ; -0.155
andar de bicicleta ; 0.701
andar de capa ; 0.069
andar de carro ;0
andar de metrô ; -0.059
andar em cima ; -0.075
andar na linha ; 0.731
andar no ar ; 0.676
andar por aí ; 0.839
andar rapidamente ; -0.046
andar rápido ;0
andar sobre ; 0.595
andarilho ; 0.814
ande devagar ;0
anderson ; 0.701
anel ; 0.052
anel da vida ; 0.928
anel de caixa ;0
anel de diamante ;0
anel do telefone ;0
anel relógio despertador ; -0.024
anergy ; -0.65
anestesia geral ; -0.651
anestesia local ; -0.651
anestésico ; -0.651
anexado ; -0.754
anexo ;0
anfetamina ; 0.022
anfibologia ; 0.633
anfiprostilos ; -0.659
anfisbena ; -0.651
anfiteatro ; 0.136
anfitrião ;0
anfractuous ; -0.93
anfíbios ;0
angelical ; 0.936
angioedema ; -0.998
angiospérmicas ; -0.706
angiospérmicas amarela ; -0.706
angiospérmicas laranja ; -0.706
angst ; -0.878
angularidade ; 0.767
angulação ; 0.592
angustiadas ;0
angustiado ; -0.977
angustiante ; 0.782
angustiar ; -0.743
angústia ; -0.585
anil ; -0.101
anima- ; 0.827
animada ; 0.65
animais ; 0.581
animais do oceano ; 0.052
animal ao vivo ;0
animal branco ; 0.284
animal cavalo mais extravagante ; 0.717
animal coisas ;0
animal come ;0
animal da floresta ; 0.996
animal da gaiola ; -0.871
animal de alta ;0
animal de asa ; -0.031
animal de casa ; 0.711
animal de casco ;0
animal de estimação ; 0.727
animal de estimação comum ;0
animal de estimação do pássaro ; 0.03
animal de estimação doméstico ;0
animal de estimação morrer ; -0.933
animal de estimação perdido ; 0.281
animal de estimação popular ;0
animal de estimação sujo ; -0.997
animal de partido ; 0.884
animal de taxa ; -0.105
animal de voar ;0
animal de árvore ; -0.12
animal do celeiro ; 0.053
animal do curral ; 0.041
animal do escudo ; 0.087
animal do grupo ; -0.038
animal doméstico ; 0.052
animal em casa ; 0.052
animal esperto ; 0.029
animal felpudo ; 0.065
animal ferido ; -0.101
animal fofo ; 0.206
animal jovem ; 0.024
animal mais extravagante ; -0.615
animal marinho ; 0.052
animal peludo ; -0.036
animal perigoso ; -0.968
animal pássaro ; 0.041
animal selvagem ; 0.996
animal social ; 0.932
animal subterrâneo ; -0.139
animal sujo ; -0.997
animal vivo ; 0.047
animando ; 0.843
animar ; 0.056
animação ; 0.884
anime ;0
anime-se ; 0.729
aniquilando ; 0.518
aniversário ; 0.124
aniversário casamento ; 0.73
aniversário de casamento ; 0.128
aniversário de criança ; 0.776
anjo branco ; 0.673
anjo caído ; 0.945
anjo da guarda ; 0.673
anjo da morte ; -0.946
annimar-se ; 0.655
ano ; -0.053
ano de temporada ; -0.887
anomic ; -0.89
anomic afasia ; -0.82
anormal ; -0.583
anormalidade ; -0.654
anotar a nota ; -0.111
anotar o pedido ;0
anote ; -0.073
anote a idéia ; -0.069
anote abaixo ;0
anserina ;0
ansiar ;0
ansioso ; -0.829
antagonismo ;0
antanho ; 0.753
ante-estreia ;0
antebraço ; 0.754
antecipadamente ; -0.721
antecipativa ;0
antecipatória violação ; -0.106
antena ; 0.16
anterior ; -0.721
antes da noite ;0
antes da queda ; -0.049
antes da refeição ; 0.127
anti ; -0.126
anti-social ;0
antibióticos ;0
anticipant ;0
anticipator ; -0.985
antidemocrático ; -0.551
antiga ;0
antigo testamento ;0
antiguidade ;0
antinatural ; -0.7
antioxidante ; -0.028
antiquate ; -0.022
antissemitismo ; -0.721
antiviral ; -0.818
antroposofia ; 0.661
antropófago ; -0.939
antropóides ; -0.939
anual ;0
anunciar produto ; 0.866
anuncie a empresa ; 0.856
anuncie o painel ; 0.087
anzol ; 0.079
análise ;0
anárquica ; -0.891
anárquico ; -0.891
anêmona ;0
anúncio ; 0.037
ao ar livre ; 0.076
ao contrário ; -0.768
ao intolerável ; 0.676
ao longo da praia ; -0.065
ao redor da terra ; -0.071
ao seu lado ; 0.071
ao seu serviço ; 0.958
aos berros ; -0.914
aos incrédulos ;0
apagar a marca de lápis ; -0.103
apagar o fogo ;0
apagar o quadro-negro ; -0.127
apague a luz ; -0.983
apagão ;0
apaixonado por ; 0.701
apanhar a borboleta ; -0.068
apanhar bagas ; -0.088
apanhar chuva ; -0.078
apanhar de supresa ;0
apanhar o rato ; 0.059
apanhe o autocarro ; -0.047
apanágio ; 0.639
aparacer como se fosse fantasma ;0
aparar pêlos ; -0.062
aparecem ; -0.643
aparecem belas ; 0.879
aparecem burro ;0
aparecem de repente ; -0.105
aparecem inteligente ; 0.681
aparelho de barbear descartável ; -0.08
aparelho de telefone ; 0.04
aparelho dental ; -0.657
aparelhos de quebrar ; -0.879
apartamento ao vivo ; 0.036
apartamento casa ;0
apartamento pequeno ;0
apartamentos ;0
aparência atraente ; 0.153
apatia ; -0.689
apavorado ;0
apaziguar ; -0.606
apego ; 0.681
aperfeiçoar ;0
aperitivo ; 0.032
apertado ;0
apertar a mão ;0
aperte dois objetos juntos ; -0.909
aperte o cinto ; -0.084
aperte o play ; -0.094
apertem o cinto de segurança ; 0.026
aperto de mão ;0
apesar de ; -0.115
aphakic ; -0.638
aphasic ; -0.567
aphonic ; -0.567
apito ; 0.076
aplacar ; -0.606
aplauso ; 0.973
aplicar ; -0.587
aplicação ;0
aplicação informática ;0
apliques ; 0.548
apneia do sono ; -0.032
apnéia ; -0.036
apoiar ; 0.635
apoio ; 0.9
apoio a causa ; 0.112
apoio estrutural ; -0.031
apomictic ; -0.686
apomixia ; -0.778
apontador ; 0.031
apontador de lápis elétrico ; 0.867
apontar o dedo ; 0.021
aposemático coloração ; 0.62
aposentadoria ; 0.787
aposentar-se ; 0.078
apostador ; -0.786
apostar dinheiro ;0
apostasia ; -0.966
apoteose ; 0.84
appetent ; 0.919
appetizingness ; -0.797
applaudable ; 0.951
appreciatively ; 0.465
approbative ; 0.585
approbatory ; 0.585
aprecia a arte ; 0.97
apreciar ; 0.865
apreciar a arte ; 0.973
apreciação expressa ; 0.943
aprecie a beleza ; 0.825
aprecio a música ; 0.806
apreender ; 0.951
aprenda a cantar ; 0.109
aprenda a jogar ; 0.761
aprenda adicionar ;0
aprenda algo novo ;0
aprenda como ; 0.774
aprenda como ler ; 0.774
aprenda como usar o computador ; 0.774
aprenda como usar o teclado ; 0.774
aprenda entretenimento ; 0.13
aprenda rapidamente ; -0.084
aprende-se oneself ; -0.038
aprendem na escola ; -0.083
aprender a arte ; 0.827
aprender a cultura ; 0.928
aprender a dança ; 0.13
aprender a doença ; -0.319
aprender a escrever ; 0.055
aprender a evolução ; 0.13
aprender a ferramenta ; -0.075
aprender a fraqueza ; 0.213
aprender a habilidade ; 0.804
aprender a jogar ; 0.862
aprender a ler ; 0.889
aprender a ler música ; -0.078
aprender a linguagem de computador ; 0.918
aprender a linguagem de programação ; 0.889
aprender a lição ; 0.929
aprender a língua ; 0.929
aprender a nadar ; 0.02
aprender a nova idéia ; -0.06
aprender a nova língua ; 0.714
aprender a nova palavra ; 0.792
aprender a ouvir ; 0.929
aprender a passar ; 0.886
aprender a pensar ; 0.098
aprender a pintura ; 0.989
aprender a pé ; -0.159
aprender a regra ; 0.889
aprender a ter paciência ; -0.096
aprender amar outro ; 0.973
aprender ciência ; 0.798
aprender com ; 0.97
aprender como nadar ; -0.092
aprender computador ; 0.719
aprender história ; 0.774
aprender línguas estrangeiras ; 0.928
aprender matemática ; -0.048
aprender muito ; 0.757
aprender música ; 0.966
aprender novas habilidades ; 0.682
aprender novas informações ; 0.708
aprender novos ; 0.924
aprender o assunto ; 0.798
aprender o assunto novo ; 0.807
aprender o conhecimento ; 0.751
aprender o esporte ; 0.719
aprender o evento atual ; 0.822
aprender o feitiço ; 0.835
aprender o material ; -0.085
aprender o mundo ; 0.535
aprender o novo fato ; 0.735
aprender o programa ;0
aprender o trabalho em equipe ; 0.056
aprender o universo ; 0.97
aprender outra cultura ; 0.97
aprendeu a profissão ; 0.54
aprendi ; 0.786
aprendiz ; 0.134
apresentar ; -0.606
apresentar-se ; 0.021
apresentação ; -0.962
apresentável ; 0.052
apressar ; 0.032
aprisionado ; -0.509
aprisionar ; -0.868
apropriado ; 0.806
aprovado ; 0.585
aprovar ; 0.585
aprovação ; 0.934
aprovação de ; 0.585
aproveitador ; -0.955
aproveite a refeição ; 0.899
aproveite a vida ; 0.993
aproveite amigo de companhia ; 0.734
aproveite o dia ; 0.911
aproveite o filme ; 0.995
aproveite o frio ; 0.681
aproveite o jogo ; 0.877
