ALUNO;MENSAGEM
47;esuce
47;to viajendo
47;ta certo
47;respondi
50;sim
50;fechou
58;blz
50;A e E
57;deu 17.62 ai coloca na raiz
55;bateu com o teu resultado
44;avisem quando terminarem
57;deu isso na de vcs
55;só achei estranho não arredondar pra 3,1 
57;ai q da 3
55;porque pelas regras lá acima de cinco arredonda pra cima
44;pois é,
58;siim,mais ja que so tem essa,é a que colocamos kkk
50;o/
58;F?
44;vamos responder
56;A falsa
57;sim
55;e ele usar regra empirica de amplitude, que é o maior menos o menor
55;vamos ue
48;opa
58;respondi
50;Verdade, que é falsa
44;respondido
57;respondi
48;concordo que é falsa
50;B falsa também?
58;2???
58;serio isso?
55;era a c
55;ueee
57;ue
58;comoo??/
44;ue
56;eu acho que eh verdadeiro cara
44;ta bixado
56;mas deixa pra dpois
58;todas fizeram a conta,todaaas,e como esa errado
48;a c nao ta certa ne ?
56;C Falsa
47;e falsa ne
55;que estranho kk
48;suspeitei
44;bem estranho
50;Por que a C é falsa?
56;Primeiro parte do livro que ele mandou no nosso e-mail
50;tenho aqui no caderno parâmetros são estimativas e estatística é uma medida numérica
56;"diz ""Estatistica é uma medida numerica que descreve uma caracteristica de uma AMOSTRA"""
56;e nao de uma população
50;hmmm
57;vai usar a formula de coeficiente de variação
50;Verdade!!!
56;E FALSA
47;d correta
47;b acho q tambem
47;alguem ai ta lagado?
47;eu fps ta baixo
48;aqui esta
56;D Ok
47;se digitar muito rapio
56;letra B o Rodrigues falou que acha que eh falsa
47;algumas letras ao saem
55;sim
47;ACHO que b e c certas
47;b e d**
50;a B falei isso pq to pensando em amostra e população
48;nessa estou totalmente confuso
58;pelo coeficiente de variacao a idade das pessoas deu=0,019951338
58;e para a altura deu=0,119760479
47;nunes vamo responder o questinario amanha?
48;da pra ser, na aula do fusão ?
57;o segundo deu igual o seu tami
56;nas..... esqueci de comprar esquadro d novo
56;hauhauhuahuahuaha
56;RODRIGUEEEES EMPRESTA A REGUA
50;kkk
56;ou o esquadro
44;como é 100, 11,9
50;fechou
58;e quanto menor for o valor do coeficiente de variação, mais homogêneos é os dados, menor vai ser a dispersão
44;F e B
50;a B tá correta noé?
56;quem acha que a B ta certa?
48;vamos no paintball ?
47;ou depois
57;acho q a b
57;tambem
47;acho que si
47;im
47;sim
44;na contas deu a B e a F
58;acho q é a C maria
48;acho que sim
44;e a de vcs/
56;Coloquei B e D
58;pq pra porcentagem faz multiplicacao por 100
50;mesmo que ela não seja realizada com a população toda, ela pode servir pra ter uma estimativa 
58;nao?
44;vou refazer
50;uhu
56;vai segurando
48;que grupo é esse
47;kxorada
48;aqui nao tem cola
44;1,97
58;pq procurei aqui e dps do calculo realmente multiplica por cem
57;:  fiz 0,2 dividido por 1,67 multiplicado por 100
57;e deu 11,97
56;A falsa
58;letra C
55;o meu deu:
44;então,fiz a divisão e depois a multiplicação 
55;1,97% idade
57;sim
55;e: 11,97% altura
57;a b
56;B verdadeira
57;q acho q ta certa
48;E falsa
57;e da altura deu a mesma da rebeca
55;D
58;acho que sao C e E
58;d?
55;não kk li errado
55;E
58;kkkkkk
50;B, C
55;não tem como ser duas certas
44;são duas
58;fico com C e E msm?
47;be 
50;"A ""D"" falsa"
47;b e c
44;idade e altura
48;B e C
55;é uma comparação entre os dados, não tem como afirmar que a altura e a idade são mais homogeneas, uma é mais a outra é menos
44;vejam o link
44;que passei
57;a da idade deu 1,97
50;a E acho que é verdadeira
55;sim
58;gnt o coeficiente de variaçao deu aquilo que mandei aqui,multiplicando por 100,as unicas repostas possiveis sao C e E
57;omo o coeficiente de variação da idade foi menor que o coeficiente de variação da altura, pode-se afirmar que os dados relativos à idade são mais homogêneos que os dados da altura.
48;nao é
55;mas uma é mais homogenea que a outra,então é uma opção só
48;peso é, mas preço não
50;kkk
50;
;
;
image/png;
50;hmm
58;siim
57;fica o questionamento
58;é o que mandei la em cima
58; e quanto menor for o valor do coeficiente de variação, mais homogêneos é os dados, menor vai ser a dispersão
44;então, pelo q entendi as corretas são duas
55;não tem como as duas estarem certas
44;uma referente a altura e a outra é a idade
55;ou uma é mais homogenea ou a outra
48;
image/png;
55;não tem como as duas serem mais homogeneas
58;é uma resposta so
55;sim
57;sim
58;no caso so a E
58;pq o coeficiente é menos
58;menor
56;Nessa imagem que o Nunes mandou
50;são exemplos
56;a letra C nao fica falsa tbm?!
55;e nesse caso a que sofreu menor variacao foi a idade
57;não seria a b
44;então, a idade apresentou menor variação
44;a B
58; e quanto menor for o valor do coeficiente de variação, mais homogêneos é os dados, menor vai ser a dispersão
56;Pq o zero natural, ou o nada sendo representado é no nivel Razão, e nao Intervalar
55;sim
58;galera le essa frase
44;ok
58;o que deu menor coeficiente foi a altura
44;vamos de B
44;isso?
55;altura??
56;"3) O nível intervalar de mensuração é similar ao ordinal, mas sabemos as magnitudes das diferenças entre dois valores. Os dados não possuem um ponto inicial zero natural. Este é o caso dos anos censitários (1970, 1980, 1991 e 2000), em que sabemos as magnitudes das diferenças entre os anos, mas o tempo não começou em zero."""""
55;amoo, foi a idade
50;humm
50;Boa
58;pq?
57;não foi a idade
57;to perdida
48;O nível intervalar de mensuração é similar ao ordinal, mas sabemos as magnitudes das diferenças entre dois valores. Os dados não possuem um ponto inicial zero natural. Este é o caso dos anos censitários (1970, 1980, 1991 e 2000), em que sabemos as magnitudes das diferenças entre os anos, mas o tempo não começou em zero.
44;a idade deu 1,97 e a altura 11,97
56;ah bao]
56;vai mandar a msm coisa que eu entrao
48;só a B ?
55;isso
56;PROFESSORA O COLEGA NUNES TA ME COPIANDO OLHE QUE FEIO
55;no exemplo que a maria passou no site era a altura
44;vamos responder?
50;a E é interessante
55;mas nesse exercicio é a idade
58;ta certo,so confundi msm
48;O MUNDO É DOS INTELIGENTE
57;fiz 0,82 dividido por 41,6 multiplicado por 100 e deu 1,97
44;sem problemas
55;41,6/0,82 x 100 = 1,97
57;o da idade
47;b
44;isso
57;e isso q e pra fazer?
44;letra B
48;preço nao é rodrigues
55;simsim kkk
58;B msm
48;nao achei nada relacionado a isso
44;respondi
55;tu só tava confundindo a idade com altura kkk
57;b então
56;Cara, mas nao tem o preço 0,00?
44;isso
55;B kk
48;posso estar errado, mas eu acho que esta errada
57;se nao for fica o questionamento depois
56;Nao sei, tem que pesquisar mais so falei por falar
57;vou responder
58;é a B kk
58;so li errado msm
55;beleza kk
50;O Intervalo de Predição é um intervalo de valores, também derivado da estatística inferencial, que tem como objetivo capturar o preço desconhecido de um imóvel na população estudada. O conceito de população foi definido no item anterior. Por conta de sua natureza aleatória, não se espera que duas amostras de um mesmo mercado imobiliário terão intervalos iguais. Entretanto, se você repetir a amostragem infinitas vezes, um certo percentual dos intervalos construídos irão conter o preço desejado do bem na população. O percentual deste intervalo de predição que contém o preço do imóvel é conhecido como nível de confiança do intervalo.
50;O que acham?
50;Mas falam sobre Intervalo e não sobre Razão
48;era isso que ia te perguntar
48;por mim ta errada, mas posso estar enganado, o que decidirem eu vou
56;http://infonauta.com.br/?q=9/93/estatistica-escalas-medicao/
56;"da um ctrl+F nesse site e procura por ""preço"""
56;mas foi o unico site que eu achei que relaciona preço á razão
50;sim
50;Agora eu vi no seu
50;Escalas Razão Utilizada quando o que se pretende é  comparar medidas absolutas ou a comparação de proporções. Muito útil para se medir variáveis como idade, preço, número de consumidores, volume de vendas e renda familiar.
47;confuso pra pora
56;no pdf do professor
56;nao tem nivel de razão ne?!
50;não achei nada sobre isso
47;cara, se peso entra
47;pq preço nao entraria?
50;B e E?
56;pessoas
56;achei o livro em espanhol
56;AHSEUFHAEUSFHAU
56;https://wwwyyy.files.wordpress.com/2014/10/estadistica-de-mario-f-triola.pdf
47;hmmmmmm
47;justo
56;vão na pagina 41
47;mas sei la
56;do pdf
56;El nivel de medición de razón
56;"ou dem ctrl+f em ""El nivel de medición de razón"""
56;como exemplo ele cita preços e pesos
56;NAO SEI SE O LIVRO TA CERTO....... mas parece ser
47;eu voto na b e e
47;se foulda
48;entao beleza
48;b e e
50;Fechou
48;respondi
60;oi
63;ola
27;Oi
59;ola amigos
60;alguma ideia desse
59;ola nao tenho muita ideia nao eu iria por a e d
60;Estudo transversal – quando os dados são observados, medidos e coletados em um ponto no tempo.
60;http://eadgrad.unigran.br/webaulas//dp_adap_22012/crazt/estatistica/arquivos/aula01.pdf
60;achei nesse site aqui
60;entao a B deve ta certa
59;sim
63;vamo tenta procurar as outras
59;mas pode falar que a gente ta colando do google por aqui?
63;no ctrf f q achei
60;Estudo prospectivo – quando os dados são coletados no futuro, de grupos que compartilham fatores comuns.
60;parece certa tbm
60;Estudo retrospectivo – quando os dados são coletados do passado, voltando-se no tempo (através de exames de registros, entrevistas e assim por diante).
60;e essa tbm hahaha
59;cd
59;e b entao
60;ok
63;ok concordo
27;Ok
60;:/
59;c era bait :/
60;tava igual praticamente mas ok o final devia mudar
60;erro amostral é a diferença entre o resultado amostral e o verdadeiro resutado da população
51;a b tá certa
59;u variabilidade amostral é a diferença entre a estimativa da amostra e o parâmetro da população. Decorre da própria noção de amostra.
59;erro amostral
60;sim
60;a ta certa entao
59;sim
63;vamos procura a b e a c
59;eu acho que a c ta correta
59;pq se for tendencioso nao tem como a pesquisa condizer com a realidade
60;eu to pensando mas dai ele fala nenhuma manipulaçao
60;e se for usar moda ou mediana
60;q tira os estremos
60;depende o caso da pra salvar
60;mas errei a passada nessa vou na sua
60;vc q decide hahaha
59;o willian decide enntao
27;Sim o will decide
59;decide ai will hahah
63;to procurando
63;um minuto
63;eu colocaria a c tbm
63;B o que fazemos ?
59;b acho que e falsa
60;entao vamos de a e c
59;acho que erro amostral é quando a pesquisa e feita certo e mesmo assim da diferença
59;no caso dos dois nao ta certo a pesquisa
59;minha opinião
22;Nilton
22;tá aberta a questão
22;oi
22;estão ?w
22;estão ai ???
51;não
42;Oi gente
51;kkkkkkkkk
42;to aqiu
22;Oii
21;oiii
21;to tbb
21;gente
21;eu acho q essa é a A e a D
21;na verdade a D estou na duvida
51;acho que a b também é
22;estou olhando na apostilinha
51;a A B D E 
51;tenho tipo quase certeza
42;eu tenho certeza da A tambem
21;eai meninas
42;Acho que a b não é
21;vamos marcar as 4 entao ?
21;hahahah
21;eu tb acho q a B nao
22;pode ser
21;mas ia marcar pq o Nilton falou
51;O nível NOMINAL é também conhecido como categórico ou qualitativo. Não há relação de maior, menor ou qualquer escala de ordem. Uma variável NOMINAL pode apenas ser igual ou diferente de outra variável NOMINAL.
21;blz
42;tenho certeza da D
21;a D eu tb tenho
42;então é a b e d?
51;A e tbm
21;bele
42;a b d e ?
51;sim
21;marquei essas
51;eu marquei isso pelo menso
42;ok gente
51;deu ruim kk
42;UHSUSHAUSHAUSHAUHSUAHSUAHS
42;deu ruim mesmo
22;a) Uma amostra grande é sempre uma boa amostra.
21;só nao era a e né?
51;mas erramos só uma ne?
21;kkkkkk
42;siim
42;erramos só a e
51;a A tá errada será?
21;essa acho que ésó a b
42;acho que A não ta certa
21;eu tb acho que não
51;tbm acho que é só a B
42;acho que é só a B tambem
22;"amostras desnecessariamente grandes acarretam desperdício de tempo e de dinheiro; • e amostras excessivamente pequenas podem levar a resultados não confiáveis"
42;a D ta errada
51;bora marcar só B então?
21;simm
42;mas essa c, to na duvida
42;ta, vamos marca só a B então
22;Oi
22;vamos iniciar a 2 então?
51;Qual é essa?
21;baaaaamus
51;Não dá pra fazer amanhã?
51;vamos então kk
21;vamos fazer as 3 hj já
21;pq aí ja nos livramos kkkkk
21;sério
42;aproveitar que ta todo mundo online kk
21;bem dessa
22;é vdd mesmo
22;tenho altas provas semana que vem
21;pq fds nao quero entrar aqui hahahaha
42;vamos lá então
21;me simpatizei com a D 
21;kkkkkk
41;Sim
22;São aqueles em que os participantes da pesquisa não são sorteados para os respectivos grupos, porque já pertencem a eles antes do início da pesquisa. São apenas selecionados.
51;ACho que é a d tbm
22;http://www.dicionarioinformal.com.br/prospectivo/
42;acho que a D esta certa
51;D então?
21;bora
